method,n,d,instance_id,LB,UB,Cuts,TotalTime,Gap%,Cost,FirstStageTime,SecondStageTime
ILP,500,AD_2,"SWNN500DAD_2R3e-05P(25, 200)I0",9073421.0,9073430.0,3.0,153.30242586135864,9.919071398578046e-05,,,
MILP,500,AD_2,"SWNN500DAD_2R3e-05P(25, 200)I0",9073421.0,9073464.0,3.0,187.4371359348297,0.0004739094132075,,,
Matheuristic,500,AD_2,"SWNN500DAD_2R3e-05P(25, 200)I0",,,,37.07757234573364,,9016329.0,15.066680192947388,22.010892152786255
ILP,500,AD_2,"SWNN500DAD_2R3e-05P(25, 200)I1",9102396.0,9102712.0,5.0,148.66997909545898,0.0034714928913493,,,
MILP,500,AD_2,"SWNN500DAD_2R3e-05P(25, 200)I1",9102396.0,9103173.0,6.0,53.02668809890747,0.0085354853741656,,,
Matheuristic,500,AD_2,"SWNN500DAD_2R3e-05P(25, 200)I1",,,,22.39625310897827,,9043094.0,17.584426879882812,4.811826229095459
ILP,500,AD_2,"SWNN500DAD_2R3e-05P(25, 200)I2",9065376.666666666,9065536.0,3.0,131.88050293922424,0.0017575721207654,,,
MILP,500,AD_2,"SWNN500DAD_2R3e-05P(25, 200)I2",9065376.5,9065406.0,3.0,80.17338800430298,0.0003254128938075,,,
Matheuristic,500,AD_2,"SWNN500DAD_2R3e-05P(25, 200)I2",,,,56.65999698638916,,9008130.0,15.322808742523192,41.33718824386597
ILP,400,AD_2,"SWNN400DAD_2R1e-05P(25, 200)I0",1152568.875,1152627.0,6.0,52.75659203529358,0.0050428282523314,,,
MILP,400,AD_2,"SWNN400DAD_2R1e-05P(25, 200)I0",1152568.5,1152649.0,5.0,68.42384505271912,0.0069839127088992,,,
Matheuristic,400,AD_2,"SWNN400DAD_2R1e-05P(25, 200)I0",,,,21.300644159317017,,1200176.0,5.478802919387817,15.8218412399292
ILP,400,AD_2,"SWNN400DAD_2R1e-05P(25, 200)I1",1155283.0,1155283.0,1.0,15.27361798286438,0.0,,,
MILP,400,AD_2,"SWNN400DAD_2R1e-05P(25, 200)I1",1155283.0,1155283.0,1.0,13.45565915107727,0.0,,,
Matheuristic,400,AD_2,"SWNN400DAD_2R1e-05P(25, 200)I1",,,,18.92492914199829,,1202148.0,3.54732894897461,15.377600193023682
ILP,400,AD_2,"SWNN400DAD_2R1e-05P(25, 200)I2",1154445.5454545454,1154540.0,3.0,53.37567496299744,0.0081811410132682,,,
MILP,400,AD_2,"SWNN400DAD_2R1e-05P(25, 200)I2",1154445.0,1154510.0,4.0,46.62866187095642,0.0056300941524975,,,
Matheuristic,400,AD_2,"SWNN400DAD_2R1e-05P(25, 200)I2",,,,25.44294691085815,,1201702.0,4.932488918304443,20.51045799255371
ILP,400,AD_2,"SWNN400DAD_2R2e-05P(25, 200)I0",2394791.4999999995,2394953.0,6.0,41.40238690376282,0.0067433473642474,,,
MILP,400,AD_2,"SWNN400DAD_2R2e-05P(25, 200)I0",2394788.1666666665,2394867.0,5.0,20.34180283546448,0.0032917624792311,,,
Matheuristic,400,AD_2,"SWNN400DAD_2R2e-05P(25, 200)I0",,,,8.637559652328491,,2404857.0,6.023379802703857,2.614179849624634
ILP,400,AD_2,"SWNN400DAD_2R2e-05P(25, 200)I1",2402034.6666666665,2402080.0,3.0,34.60781407356262,0.0018872532693952,,,
MILP,400,AD_2,"SWNN400DAD_2R2e-05P(25, 200)I1",2402034.6,2402261.0,5.0,22.526761054992676,0.0094244547116198,,,
